bloque_predictor,variables_en_tabla,clasificacion,decision_primaria,momento_T0,riesgo_auditado,justificacion,nota_operativa
Identificación del participante,SEQN (SEQN),Excluida,No usar como predictor,No aplica,No clínico / identificador,"Identificador técnico, sin significado clínico para predicción.",Se conserva para trazabilidad y uniones.
Edad basal,dem__RIDAGEYR (RIDAGEYR),Admisible,Usar,Disponible en T0,Bajo,Edad medida al inicio; predictor basal esencial y no supone fuga.,
Sexo,dem__RIAGENDR (RIAGENDR),Admisible,Usar,Disponible en T0,Bajo,Variable basal disponible antes del desenlace.,
Raza/etnia,dem__RIDRETH1 (RIDRETH1); dem__RIDRETH3 (RIDRETH3),Admisible,Usar con prudencia interpretativa,Disponible en T0,Bajo; riesgo interpretativo,Variable basal útil para ajuste/calibración; no se debe interpretar como causa biológica directa.,"Elegir una codificación, no usar ambas si son redundantes."
Nivel socioeconómico y hogar,dem__DMDEDUC2 (DMDEDUC2); dem__DMDMARTL (DMDMARTL); dem__INDHHIN2 (INDHHIN2); dem__INDFMIN2 (INDFMIN2); dem__INDFMPIR (INDFMPIR); dem__DMDHHSIZ (DMDHHSIZ),Admisible,Usar si la cobertura lo permite,Disponible en T0,Bajo; posible confusión social,Información basal socioeconómica. No es fuga; puede capturar gradientes de riesgo y acceso a recursos.,Revisar aplicabilidad por edad y faltantes.
Diseño muestral y pesos,dem__WTINT2YR (WTINT2YR); dem__WTMEC2YR (WTMEC2YR); dem__SDMVPSU (SDMVPSU); dem__SDMVSTRA (SDMVSTRA),Excluida,No usar como predictor clínico,No aplica,No clínico / diseño muestral,"Son variables de diseño/ponderación, no características clínicas del individuo.","Se conservan para análisis descriptivo, sensibilidad o ponderación si procede."
Estado de entrevista/examen y variables administrativas,dem__RIDSTATR (RIDSTATR); dem__RIDEXMON (RIDEXMON); dem__SIALANG (SIALANG); dem__SIAPROXY (SIAPROXY); dem__SIAINTRP (SIAINTRP); dem__FIALANG (FIALANG); dem__FIAPROXY (FIAPROXY); dem__FIAINTRP (FIAINTRP),Excluida,No usar como predictor,No usar como predictor,Artefacto operativo,Capturan proceso de recogida de datos o idioma/proxy; pueden inducir artefactos operativos.,"Pueden servir para auditorías de faltantes, no para el modelo primario."
Antropometría general,exam__BMXWT (BMXWT); exam__BMXHT (BMXHT); exam__BMXBMI (BMXBMI); exam__BMXWAIST (BMXWAIST),Admisible,Usar como bloque general; revisar extremos aparte,Disponible en T0,Bajo,"Mediciones basales de examen físico. Son predictores habituales y previos al seguimiento; los valores extremos, especialmente IMC muy bajo, se auditan por separado.",No duplicar con la regla específica de IMC bajo si se crea una bandera de fragilidad.
IMC muy bajo en mayores,exam__BMXBMI (BMXBMI),Dudosa,Requiere análisis/sensibilidad,"Disponible en T0, pero extremo clínico dudoso",Causalidad inversa / fragilidad avanzada,"Un IMC muy bajo en mayores puede ser marcador de fragilidad, caquexia o enfermedad letal ya iniciada.",No se excluye de entrada; se justificará si se usa como continuo o se hará sensibilidad sin extremos bajos.
Pérdida de peso / historia de peso,quest__WHQ030 (WHQ030); quest__WHQ040 (WHQ040); quest__WHQ070 (WHQ070); quest__WHQ150 (WHQ150); quest__WHD010 (WHD010); quest__WHD020 (WHD020); quest__WHD050 (WHD050); quest__WHD110 (WHD110); quest__WHD120 (WHD120); quest__WHD140 (WHD140),Dudosa,No entrar sin justificación clínica explícita,"Disponible en T0, pero dudoso",Causalidad inversa / enfermedad en curso,La pérdida de peso no intencionada o cambios recientes pueden ser señal de enfermedad terminal ya en marcha.,Clasificar de forma específica tras revisar el significado exacto de cada ítem.
Presión arterial medida,exam__BPXSY1 (BPXSY1); exam__BPXDI1 (BPXDI1); exam__BPXSY2 (BPXSY2); exam__BPXDI2 (BPXDI2); exam__BPXSY3 (BPXSY3); exam__BPXDI3 (BPXDI3); exam__BPXPLS (BPXPLS),Admisible,Usar,Disponible en T0,Bajo,Medición basal de riesgo cardiovascular; no es fuga.,Promediar lecturas si se usa.
Hipertensión y tratamiento,quest__BPQ020 (BPQ020); quest__BPQ040A (BPQ040A); quest__BPQ050A (BPQ050A); quest__BPQ080 (BPQ080),Admisible,Usar,Disponible en T0,Bajo; antecedente basal legítimo,"Diagnóstico/tratamiento previo basal. En mortalidad por cualquier causa, comorbilidades previas son predictores legítimos.",
Diabetes y prediabetes,quest__DIQ010 (DIQ010); quest__DIQ160 (DIQ160); quest__DIQ170 (DIQ170); lab__LBXGH (LBXGH); lab__LBXGLT (LBXGLT); lab__LBDINSI (LBDINSI),Admisible,Usar,Disponible en T0,Bajo; antecedente/biomarcador basal,Diagnóstico o biomarcadores basales. No son fuga por sí mismos.,Revisar submuestra/faltantes para glucosa/insulina.
Lípidos,lab__LBXTC (LBXTC); lab__LBDHDD (LBDHDD); lab__LBDLDL (LBDLDL); lab__LBXTR (LBXTR),Admisible,Usar si cobertura suficiente,Disponible en T0,Bajo,Biomarcadores basales de riesgo cardiometabólico.,Evitar duplicados de unidades equivalentes.
Función renal / daño renal,lab__LBXSCR (LBXSCR); lab__URDACT (URDACT); lab__URXUMA (URXUMA); lab__URXUCR (URXUCR),Admisible,Usar,Disponible en T0,Bajo-moderado; enfermedad basal,Marcadores basales de enfermedad renal o riesgo vascular; no son fuga en mortalidad general.,Derivar eGFR solo si queda preespecificado.
Hemograma básico,lab__LBXHGB (LBXHGB); lab__LBXWBCSI (LBXWBCSI); lab__LBXPLTSI (LBXPLTSI),Admisible,Usar como bloque general; revisar extremos aparte,Disponible en T0,Bajo-moderado; revisar extremos,"Parámetros basales generales. Son admisibles, aunque valores extremos pueden reflejar procesos agudos o avanzados y deben revisarse.",Los leucocitos muy elevados se marcan aparte como bloque dudoso.
Inflamación muy elevada,lab__LBXWBCSI (LBXWBCSI),Dudosa,Requiere justificación/sensibilidad,"Disponible en T0, pero extremo clínico dudoso",Causalidad inversa / proceso agudo o avanzado,"Marcadores inflamatorios muy altos pueden reflejar infección, cáncer avanzado u otro proceso letal ya activo.",No hay CRP localizada en esta tabla; WBC queda como marcador inflamatorio disponible.
Albúmina sérica baja,lab__LBXSAL (LBXSAL); lab__LBDSALSI (LBDSALSI),Dudosa,Requiere justificación/sensibilidad,"Disponible en T0, pero extremo clínico dudoso","Causalidad inversa / caquexia, inflamación o desnutrición","Albúmina muy baja puede ser marcador de desnutrición, inflamación o enfermedad avanzada cercana al desenlace.",No excluir sistemáticamente; marcar umbrales extremos antes de modelar.
Enzimas hepáticas / bioquímica general,lab__LBXSASSI (LBXSASSI); lab__LBXSATSI (LBXSATSI); lab__LBXSAPSI (LBXSAPSI); lab__LBXSTB (LBXSTB); lab__LBXSTP (LBXSTP); lab__LBXSBU (LBXSBU); lab__LBXSUA (LBXSUA),Admisible,Usar si se justifica clínicamente,Disponible en T0,Bajo-moderado; enfermedad basal,"Mediciones basales. Pueden reflejar enfermedad previa, que es predictor legítimo.",Evitar inflar el predictor set con variables redundantes sin criterio.
Salud autopercibida,quest__HSD010 (HSD010),Dudosa,No usar en modelo primario sin sensibilidad,"Disponible en T0, pero dudoso",Causalidad inversa / estado global cercano al desenlace,Es el caso típico de posible causalidad inversa: el participante puede percibir mala salud porque ya existe un proceso grave cercano.,"Si se usa, declarar claramente que capta estado global basal y hacer comparación sin ella."
